id,title,link,imageUrl,imageUrl2,imageUrl3,imageUrl4,imageUrl5,imageUrl6,discountedPercentage,    discountedPrice,actualPrice,badge 5,brand,discount,variants(size),variants(color),variants(size)2,variants(color)2,variants(size)3,variants(color)3,variants(size)4,variants(color)4,variants(size)5,variants(color)5,variants(size)6,variants(color)6
1,Men's Strapped Chappal,https://servis.pk/collections/summer-sale/products/m-ch-0300007-navy,https://servis.pk/cdn/shop/files/M-CH-0300007NAVY.jpg?v=1745583977&width=533,https://servis.pk/cdn/shop/files/M-CH-0300007NAVY...jpg?v=1745583977&width=533,https://servis.pk/cdn/shop/files/M-CH-0300007NAVY.....jpg?v=1745583977&width=533,https://servis.pk/cdn/shop/files/M-CH-0300007NAVY....jpg?v=1745583977&width=533,https://servis.pk/cdn/shop/files/M-CH-0300007NAVY..jpg?v=1745583977&width=533,https://servis.pk/cdn/shop/files/M-CH-0300007NAVY......jpg?v=1745583977&width=533,20,"2,799.00","3,499.00",Sale,Service,700.00,40,NAVY,44,NAVY,43,NAVY,42,NAVY,41,NAVY,45,NAVY
2,Men's Strapped Chappal,https://servis.pk/collections/summer-sale/products/m-ch-0300007-brown,https://servis.pk/cdn/shop/files/66_980e9495-0a09-479b-8cef-80ea9f7b8b6e.jpg?v=1745583980&width=533,https://servis.pk/cdn/shop/files/85_bef9f319-0b6b-48cf-b534-a2b041fad213.jpg?v=1745583980&width=533,https://servis.pk/cdn/shop/files/65_063a929d-bfee-40f5-857d-21c48fd3d0f5.jpg?v=1745583980&width=533,https://servis.pk/cdn/shop/files/M-CH-0300007BROWN.jpg?v=1745583980&width=533,https://servis.pk/cdn/shop/files/M-CH-0300007BROWN...jpg?v=1745583980&width=533,https://servis.pk/cdn/shop/files/84.jpg?v=1745583980&width=533,20,"2,799.00","3,499.00",Sale,Service,700.00,40,BROWN,44,BROWN,43,BROWN,42,BROWN,41,BROWN,45,BROWN
3,Men's Basic Slides,https://servis.pk/collections/summer-sale/products/m-ch-0300005-navy,https://servis.pk/cdn/shop/files/M-CH-0300005NAVY.jpg?v=1745583983&width=533,https://servis.pk/cdn/shop/files/M-CH-0300005NAVY...jpg?v=1745583983&width=533,https://servis.pk/cdn/shop/files/M-CH-0300005NAVY.....jpg?v=1745583983&width=533,https://servis.pk/cdn/shop/files/M-CH-0300005NAVY....jpg?v=1745583983&width=533,https://servis.pk/cdn/shop/files/M-CH-0300005NAVY..jpg?v=1745583983&width=533,https://servis.pk/cdn/shop/files/M-CH-0300005NAVY......jpg?v=1745583983&width=533,20,"2,799.00","3,499.00",Sale,Service,700.00,40,NAVY,44,NAVY,43,NAVY,42,NAVY,41,NAVY,,
4,Men's Basic Slides,https://servis.pk/collections/summer-sale/products/m-ch-0300005-brown,https://servis.pk/cdn/shop/files/58.jpg?v=1745583985&width=533,https://servis.pk/cdn/shop/files/57.jpg?v=1745583985&width=533,https://servis.pk/cdn/shop/files/M-CH-0300005BROWN.jpg?v=1745583985&width=533,https://servis.pk/cdn/shop/files/M-CH-0300005BROWN...jpg?v=1745583985&width=533,https://servis.pk/cdn/shop/files/M-CH-0300005BROWN.....jpg?v=1745583985&width=533,https://servis.pk/cdn/shop/files/M-CH-0300005BROWN....jpg?v=1745583985&width=533,20,"2,799.00","3,499.00",Sale,Service,700.00,40,BROWN,44,BROWN,43,BROWN,42,BROWN,41,BROWN,,
5,Women's Formal Slippers,https://servis.pk/collections/summer-sale/products/l-ek-0300688-rose-gold,https://servis.pk/cdn/shop/files/L-EK-0300688ROSEGOLD.jpg?v=1745583787&width=533,https://servis.pk/cdn/shop/files/5_337d88c1-eed6-4ebd-a7d6-eefde0ab45fe.jpg?v=1745583787&width=533,https://servis.pk/cdn/shop/files/75.jpg?v=1745583787&width=533,https://servis.pk/cdn/shop/files/40.jpg?v=1745583787&width=533,https://servis.pk/cdn/shop/files/L-EK-0300688ROSEGOLD..jpg?v=1745583788&width=533,https://servis.pk/cdn/shop/files/110.jpg?v=1745583788&width=533,20,"1,199.00","1,499.00",Sale,Service,300.00,3,ROSE GOLD,7,ROSE GOLD,6,ROSE GOLD,5,ROSE GOLD,4,ROSE GOLD,8,ROSE GOLD
6,Women's  Everyday Slippers,https://servis.pk/collections/summer-sale/products/l-sr-0300030-maroon,https://servis.pk/cdn/shop/files/L-SR-0300030MAROON.jpg?v=1745583786&width=533,https://servis.pk/cdn/shop/files/18_c3af0572-2b98-47aa-8254-465cdf7a210c.jpg?v=1745583786&width=533,https://servis.pk/cdn/shop/files/95.jpg?v=1745583786&width=533,https://servis.pk/cdn/shop/files/53_4b290351-e8cf-47f9-a720-7e5c61ed26da.jpg?v=1745583786&width=533,https://servis.pk/cdn/shop/files/L-SR-0300030MAROON..jpg?v=1745583786&width=533,https://servis.pk/cdn/shop/files/130.jpg?v=1745583786&width=533,20,"1,199.00","1,499.00",Sale,Service,300.00,36,MAROON,40,MAROON,39,MAROON,38,MAROON,37,MAROON,41,MAROON
7,Men's Everday Chappal,https://servis.pk/collections/summer-sale/products/m-ch-0300004-navy,https://servis.pk/cdn/shop/files/M-CH-0300004NAVY.jpg?v=1745583784&width=533,https://servis.pk/cdn/shop/files/M-CH-0300004NAVY...jpg?v=1745583784&width=533,https://servis.pk/cdn/shop/files/M-CH-0300004NAVY......jpg?v=1745583785&width=533,https://servis.pk/cdn/shop/files/M-CH-0300004NAVY....jpg?v=1745583785&width=533,https://servis.pk/cdn/shop/files/M-CH-0300004NAVY..jpg?v=1745583785&width=533,,20,"2,799.00","3,499.00",Sale,Service,700.00,40,NAVY,44,NAVY,43,NAVY,42,NAVY,41,NAVY,,
8,Men's Casual Wear Chappal,https://servis.pk/collections/summer-sale/products/m-lf-0300205-black,https://servis.pk/cdn/shop/files/M-LF-0300205BLACK.jpg?v=1745583782&width=533,https://servis.pk/cdn/shop/files/M-LF-0300205BLACK...jpg?v=1745583782&width=533,https://servis.pk/cdn/shop/files/M-LF-0300205BLACK......jpg?v=1745583783&width=533,https://servis.pk/cdn/shop/files/M-LF-0300205BLACK....jpg?v=1745583783&width=533,https://servis.pk/cdn/shop/files/M-LF-0300205BLACK..jpg?v=1745583783&width=533,,20,"2,639.00","3,299.00",Sale,Service,660.00,6,BLACK,10,BLACK,9,BLACK,8,BLACK,7,BLACK,11,BLACK
9,Peshawari Sandals For Men,https://servis.pk/collections/summer-sale/products/m-lf-0400235-black,https://servis.pk/cdn/shop/files/M-LF-0400235BLACK.jpg?v=1745583781&width=533,https://servis.pk/cdn/shop/files/M-LF-0400235BLACK...jpg?v=1745583781&width=533,https://servis.pk/cdn/shop/files/M-LF-0400235BLACK......jpg?v=1745583781&width=533,https://servis.pk/cdn/shop/files/M-LF-0400235BLACK....jpg?v=1745583781&width=533,https://servis.pk/cdn/shop/files/M-LF-0400235BLACK..jpg?v=1745583781&width=533,,20,"3,999.00","4,999.00",Sale,Service,"1,000.00",40,BLACK,44,BLACK,43,BLACK,42,BLACK,41,BLACK,45,BLACK
10,Men's Casual Peshawari,https://servis.pk/collections/summer-sale/products/m-lf-0400235-d-brown,https://servis.pk/cdn/shop/files/M-LF-0400235D.BROWN.jpg?v=1745583779&width=533,https://servis.pk/cdn/shop/files/M-LF-0400235D.BROWN...jpg?v=1745583779&width=533,https://servis.pk/cdn/shop/files/M-LF-0400235D.BROWN......jpg?v=1745583779&width=533,https://servis.pk/cdn/shop/files/M-LF-0400235D.BROWN....jpg?v=1745583780&width=533,,,20,"3,999.00","4,999.00",Sale,Service,"1,000.00",40,D.BROWN,44,D.BROWN,43,D.BROWN,42,D.BROWN,41,D.BROWN,45,D.BROWN
